0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
453859,21,5,0,58,7,0,0,0,1,193,0,209,0,81
100,290,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,25573,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,2072,0,1,0,0,0,0,0,0,0,0,0
17,0,2,5,46452,0,0,0,0,0,9,0,1,0,0
2,0,0,0,0,1068,2,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1172,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1612,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
78,0,0,0,6,0,0,0,0,0,31627,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1172,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,92,0,28
5,0,0,0,0,0,0,0,0,0,0,0,0,2,0
87,0,0,0,0,0,0,0,0,0,0,0,14,0,18
